      Time        Ns        Nh        Nq        Tw
         1         0         0         0         0
         2         0         0         1         1
         3         1         0         1         1
         4         1         0         2         2
         5         1         1         3         4
         6         1         1         2         4
         7         1         1         2         6
         8         3         1         3         7
         9         4         1         2         7
        10         4         1         3         8
        11         4         4         3         8
        12         4         4         3         8
        13         4         4         4         9
        14         5         5         4         9
        15         5         5         5        12
        16         5         7         4        12
        17         5         8         4        12
        18         5         8         4        12
        19         5         9         4        13
        20         6         9         4        13
        21         6         9         4        14
        22         7         9         4        14
        23         8         9         4        15
        24         8        11         5        16
        25         8        11         5        16
        26         8        11         6        17
        27         9        11         5        17
        28         9        11         5        18
        29        11        11         5        18
        30        12        11         5        19
        31        13        11         5        19
        32        14        11         6        20
        33        15        11         6        20
        34        15        11         7        21
        35        16        11         7        21
        36        16        11         7        22
        37        17        11         7        22
        38        18        11         7        23
        39        19        11         7        23
        40        20        11         8        24
        41        21        11         8        24
        42        21        11         9        25
        43        22        11         9        25
        44        22        11        10        26
        45        23        11        10        26
        46        23        11        10        27
        47        24        11        10        27
        48        25        11        11        28
        49        26        11        11        28
        50        26        11        11        29
        51        27        11        11        29
        52        28        11        11        30
        53        29        11        11        30
        54        30        11        12        31
        55        31        11        12        31
        56        31        11        13        32
        57        32        11        13        32
        58        32        11        13        33
        59        33        11        13        33
        60        34        11        14        34
        61        35        11        14        34
        62        35        11        14        35
        63        36        11        14        35
        64        37        11        14        36
        65        38        11        14        36
        66        39        11        14        37
        67        40        11        14        37
        68        41        11        14        38
        69        42        11        14        38
        70        43        11        14        39
        71        44        11        14        39
        72        45        11        14        40
        73        46        11        14        40
        74        47        11        15        41
        75        48        11        15        41
        76        48        11        16        42
        77        49        11        16        42
        78        49        11        16        43
        79        50        11        16        43
        80        51        11        17        44
        81        52        11        17        44
        82        52        11        17        45
        83        53        11        17        45
        84        54        11        17        46
        85        55        11        17        46
        86        56        11        18        47
        87        57        11        18        47
        88        57        11        18        48
        89        58        11        18        48
        90        59        11        18        49
        91        60        11        18        49
        92        61        11        18        50
        93        62        11        18        50
        94        63        11        19        51
        95        64        11        19        51
        96        64        11        20        52
        97        65        11        20        52
        98        65        11        20        53
        99        66        11        20        53
       100        67        11        20        54
       101        68        11        20        54
       102        69        11        20        55
       103        70        11        20        55
       104        71        11        21        56
       105        72        11        21        56
       106        72        11        22        57
       107        73        11        22        57
       108        73        11        22        58
       109        74        11        22        58
       110        75        11        22        59
       111        76        11        22        59
       112        77        11        22        60
       113        78        11        22        60
       114        79        11        23        61
       115        80        11        23        61
       116        80        11        23        62
       117        81        11        23        62
       118        82        11        23        63
       119        83        11        23        63
       120        84        11        24        64
       121        85        11        24        64
       122        85        11        24        65
       123        86        11        24        65
       124        87        11        24        66
       125        88        11        24        66
       126        89        11        24        67
       127        90        11        24        67
       128        91        11        25        68
       129        92        11        25        68
       130        92        11        25        69
       131        93        11        25        69
       132        94        11        25        70
       133        95        11        25        70
       134        96        11        25        71
       135        97        11        25        71
       136        98        11        25        72
       137        99        11        25        72
       138       100        11        25        73
       139       101        11        25        73
       140       102        11        26        74
       141       103        11        26        74
       142       103        11        27        75
       143       104        11        27        75
       144       104        11        28        76
       145       105        11        28        76
       146       105        11        29        77
       147       106        11        29        77
       148       106        11        30        78
       149       107        11        30        78
       150       107        11        30        79
       151       108        11        30        79
       152       109        11        31        80
       153       110        11        31        80
       154       110        11        31        81
       155       111        11        31        81
       156       112        11        32        82
       157       113        11        32        82
       158       113        11        33        83
       159       114        11        33        83
       160       114        11        33        84
       161       115        11        33        84
       162       116        11        33        85
       163       117        11        33        85
       164       118        11        33        86
       165       119        11        33        86
       166       120        11        33        87
       167       121        11        33        87
       168       122        11        34        88
       169       123        11        34        88
       170       123        11        35        89
       171       124        11        35        89
       172       124        11        35        90
       173       125        11        35        90
       174       126        11        35        91
       175       127        11        35        91
       176       128        11        35        92
       177       129        11        35        92
       178       130        11        36        93
       179       131        11        36        93
       180       131        11        37        94
       181       132        11        37        94
       182       132        11        37        95
       183       133        11        37        95
       184       134        11        37        96
       185       135        11        37        96
       186       136        11        37        97
       187       137        11        37        97
       188       138        11        37        98
       189       139        11        37        98
       190       140        11        38        99
       191       141        11        38        99
       192       141        11        38       100
       193       142        11        38       100
       194       143        11        38       101
       195       144        11        38       101
       196       145        11        38       102
       197       146        11        38       102
       198       147        11        38       103
       199       148        11        38       103
       200       149        11        38       104
       201       150        11        38       104
       202       151        11        39       105
       203       152        11        39       105
       204       152        11        39       106
       205       153        11        39       106
       206       154        11        40       107
       207       155        11        40       107
       208       155        11        40       108
       209       156        11        40       108
       210       157        11        41       109
       211       158        11        41       109
       212       158        11        41       110
       213       159        11        41       110
       214       160        11        41       111
       215       161        11        41       111
       216       162        11        41       112
       217       163        11        41       112
       218       164        11        41       113
       219       165        11        41       113
       220       166        11        41       114
       221       167        11        41       114
       222       168        11        41       115
       223       169        11        41       115
       224       170        11        41       116
       225       171        11        41       116
       226       172        11        41       117
       227       173        11        41       117
       228       174        11        41       118
       229       175        11        41       118
       230       176        11        41       119
       231       177        11        41       119
       232       178        11        41       120
       233       179        11        41       120
       234       180        11        41       121
       235       181        11        41       121
       236       182        11        41       122
       237       183        11        41       122
       238       184        11        41       123
       239       185        11        41       123
       240       186        11        41       124
       241       187        11        41       124
       242       188        11        42       125
       243       189        11        42       125
       244       189        11        42       126
       245       190        11        42       126
       246       191        11        43       127
       247       192        11        43       127
       248       192        11        43       128
       249       193        11        43       128
