      Time        Ns        Nh        Nq        Tw
         1         0         0         0         0
         2         0         0         1         1
         3         1         0         1         1
         4         1         0         2         2
         5         1         1         3         3
         6         1         1         2         3
         7         1         2         2         4
         8         3         2         3         6
         9         3         2         2         6
        10         3         2         3         7
        11         3         5         3         7
        12         3         5         3         7
        13         3         5         4         8
        14         3         6         4         8
        15         3         6         5         9
        16         4         6         6        11
        17         4         6         5        11
        18         4         7         5        13
        19         6         9         4        13
        20         6         9         4        13
        21         6         9         4        14
        22         7        10         5        15
        23         7        10         5        15
        24         7        10         6        16
        25         8        10         6        16
        26         8        10         6        17
        27         9        10         6        17
        28        10        10         6        18
        29        11        10         6        18
        30        12        10         7        19
        31        13        11         7        19
        32        13        11         7        19
        33        13        11         7        20
        34        14        11         7        20
        35        15        11         7        21
        36        16        11         8        22
        37        17        11         7        22
        38        17        11         8        23
        39        19        11         8        23
        40        19        11         9        25
        41        20        11         8        25
        42        20        11         9        27
        43        22        11         8        27
        44        22        11         9        29
        45        24        11         8        29
        46        24        11         9        30
        47        26        11         9        30
        48        26        11        10        31
        49        27        11        10        31
        50        27        11        10        32
        51        28        11        10        32
        52        29        11        10        33
        53        30        11        10        33
        54        31        11        11        34
        55        32        11        11        34
        56        32        11        12        35
        57        33        11        12        35
        58        33        11        12        36
        59        34        11        12        36
        60        35        11        13        37
        61        36        11        13        37
        62        36        11        13        38
        63        37        11        13        38
        64        38        11        14        39
        65        39        11        14        39
        66        39        11        14        40
        67        40        11        14        40
        68        41        11        14        41
        69        42        11        14        41
        70        43        11        14        42
        71        44        11        14        42
        72        45        11        14        43
        73        46        11        14        43
        74        47        11        14        44
        75        48        11        14        44
        76        49        11        14        45
        77        50        11        14        45
        78        51        11        15        46
        79        52        11        15        46
        80        52        11        16        47
        81        53        11        16        47
        82        53        11        16        48
        83        54        11        16        48
        84        55        11        16        49
        85        56        11        16        49
        86        57        11        17        50
        87        58        11        17        50
        88        58        11        17        51
        89        59        11        17        51
        90        60        11        17        52
        91        61        11        17        52
        92        62        11        18        53
        93        63        11        18        53
        94        63        11        18        54
        95        64        11        18        54
        96        65        11        18        55
        97        66        11        18        55
        98        67        11        18        56
        99        68        11        18        56
       100        69        11        18        57
       101        70        11        18        57
       102        71        11        18        58
       103        72        11        18        58
       104        73        11        19        59
       105        74        11        19        59
       106        74        11        20        60
       107        75        11        20        60
       108        75        11        21        61
       109        76        11        21        61
       110        76        11        21        62
       111        77        11        21        62
       112        78        11        21        63
       113        79        11        21        63
       114        80        11        21        64
       115        81        11        21        64
       116        82        11        21        65
       117        83        11        21        65
       118        84        11        21        66
       119        85        11        21        66
       120        86        11        22        67
       121        87        11        22        67
       122        87        11        22        68
       123        88        11        22        68
       124        89        11        23        69
       125        90        11        23        69
       126        90        11        24        70
       127        91        11        24        70
       128        91        11        24        71
       129        92        11        24        71
       130        93        11        25        72
       131        94        11        25        72
       132        94        11        25        73
       133        95        11        25        73
       134        96        11        26        74
       135        97        11        26        74
       136        97        11        26        75
       137        98        11        26        75
       138        99        11        26        76
       139       100        11        26        76
       140       101        11        27        77
       141       102        11        27        77
       142       102        11        28        78
       143       103        11        28        78
       144       103        11        28        79
       145       104        11        28        79
       146       105        11        28        80
       147       106        11        28        80
       148       107        11        29        81
       149       108        11        29        81
       150       108        11        30        82
       151       109        11        30        82
       152       109        11        30        83
       153       110        11        30        83
       154       111        11        30        84
       155       112        11        30        84
       156       113        11        30        85
       157       114        11        30        85
       158       115        11        31        86
       159       116        11        31        86
       160       116        11        32        87
       161       117        11        32        87
       162       117        11        32        88
       163       118        11        32        88
       164       119        11        32        89
       165       120        11        32        89
       166       121        11        32        90
       167       122        11        32        90
       168       123        11        33        91
       169       124        11        33        91
       170       124        11        33        92
       171       125        11        33        92
       172       126        11        33        93
       173       127        11        33        93
       174       128        11        34        94
       175       129        11        34        94
       176       129        11        34        95
       177       130        11        34        95
       178       131        11        34        96
       179       132        11        34        96
       180       133        11        34        97
       181       134        11        34        97
       182       135        11        34        98
       183       136        11        34        98
       184       137        11        35        99
       185       138        11        35        99
       186       138        11        36       100
       187       139        11        36       100
       188       139        11        37       101
       189       140        11        37       101
       190       140        11        38       102
       191       141        11        38       102
       192       141        11        39       103
       193       142        11        39       103
       194       142        11        39       104
       195       143        11        39       104
       196       144        11        40       105
       197       145        11        40       105
       198       145        11        40       106
       199       146        11        40       106
       200       147        11        41       107
       201       148        11        41       107
       202       148        11        42       108
       203       149        11        42       108
       204       149        11        42       109
       205       150        11        42       109
       206       151        11        42       110
       207       152        11        42       110
       208       153        11        42       111
       209       154        11        42       111
       210       155        11        42       112
       211       156        11        42       112
       212       157        11        43       113
       213       158        11        43       113
       214       158        11        43       114
       215       159        11        43       114
       216       160        11        43       115
       217       161        11        43       115
       218       162        11        43       116
       219       163        11        43       116
       220       164        11        43       117
       221       165        11        43       117
       222       166        11        44       118
       223       167        11        44       118
       224       167        11        45       119
       225       168        11        45       119
       226       168        11        45       120
       227       169        11        45       120
       228       170        11        45       121
       229       171        11        45       121
       230       172        11        45       122
       231       173        11        45       122
       232       174        11        46       123
       233       175        11        46       123
       234       175        11        46       124
       235       176        11        46       124
       236       177        11        46       125
       237       178        11        46       125
       238       179        11        47       126
       239       180        11        47       126
       240       180        11        47       127
       241       181        11        47       127
       242       182        11        47       128
       243       183        11        47       128
       244       184        11        47       129
       245       185        11        47       129
       246       186        11        47       130
       247       187        11        47       130
       248       188        11        47       131
       249       189        11        47       131
