      Time        Ns        Nh        Nq        Tw
         1         0         0         0         0
         2         0         0         0         1
         3         1         0         0         1
         4         2         0         0         2
         5         3         0         0         2
         6         4         0         1         3
         7         5         0         2         4
         8         5         0         2         4
         9         5         0         3         5
        10         5         0         4         6
        11         6         0         5         9
        12         6         0         4         9
        13         6         2         5        11
        14         6         2         6        13
        15         6         2         6        13
        16         6         2         6        14
        17         7         2         7        15
        18         8         3         7        15
        19         8         3         7        15
        20         8         3         8        16
        21         9         3         8        16
        22         9         3         8        17
        23        10         3         8        17
        24        11         3         8        18
        25        11         5         8        18
        26        11         6         9        20
        27        11         6         8        20
        28        11         6         9        22
        29        13         7         8        22
        30        13         8         8        22
        31        14         8         8        22
        32        14         8         8        23
        33        14         8         9        24
        34        16         8         9        24
        35        16         8         9        25
        36        17         8         9        25
        37        18         8         9        26
        38        19         8         9        26
        39        20         8        10        27
        40        21         8        10        27
        41        21         8        10        28
        42        22         8        10        28
        43        23         8        11        29
        44        24         8        11        29
        45        24         8        12        30
        46        25         8        12        30
        47        25         8        12        31
        48        26         8        12        31
        49        27         8        12        32
        50        28         8        12        32
        51        29         8        12        33
        52        30         8        12        33
        53        31         8        12        34
        54        32         8        12        34
        55        33         8        12        35
        56        34         8        12        35
        57        35         8        13        36
        58        36         8        13        36
        59        36         8        14        37
        60        37         8        14        37
        61        37         8        15        38
        62        38         8        15        38
        63        38         8        15        39
        64        39         8        15        39
        65        40         8        15        40
        66        41         8        15        40
        67        42         8        16        41
        68        43         8        16        41
        69        43         8        16        42
        70        44         8        16        42
        71        45         8        16        43
        72        46         8        16        43
        73        47         8        17        44
        74        48         8        17        44
        75        48         8        17        45
        76        49         8        17        45
        77        50         8        18        46
        78        51         8        18        46
        79        51         8        18        47
        80        52         8        18        47
        81        53         8        18        48
        82        54         8        18        48
        83        55         8        18        49
        84        56         8        18        49
        85        57         8        19        50
        86        58         8        19        50
        87        58         8        20        51
        88        59         8        20        51
        89        59         8        21        52
        90        60         8        21        52
        91        60         8        22        53
        92        61         8        22        53
        93        61         8        22        54
        94        62         8        22        54
        95        63         8        22        55
        96        64         8        22        55
        97        65         8        23        56
        98        66         8        23        56
        99        66         8        23        57
       100        67         8        23        57
       101        68         8        23        58
       102        69         8        23        58
       103        70         8        23        59
       104        71         8        23        59
       105        72         8        24        60
       106        73         8        24        60
       107        73         8        25        61
       108        74         8        25        61
       109        74         8        25        62
       110        75         8        25        62
       111        76         8        26        63
       112        77         8        26        63
       113        77         8        26        64
       114        78         8        26        64
       115        79         8        26        65
       116        80         8        26        65
       117        81         8        26        66
       118        82         8        26        66
       119        83         8        27        67
       120        84         8        27        67
       121        84         8        28        68
       122        85         8        28        68
       123        85         8        29        69
       124        86         8        29        69
       125        86         8        29        70
       126        87         8        29        70
       127        88         8        30        71
       128        89         8        30        71
       129        89         8        30        72
       130        90         8        30        72
       131        91         8        31        73
       132        92         8        31        73
       133        92         8        31        74
       134        93         8        31        74
       135        94         8        31        75
       136        95         8        31        75
       137        96         8        32        76
       138        97         8        32        76
       139        97         8        32        77
       140        98         8        32        77
       141        99         8        33        78
       142       100         8        33        78
       143       100         8        33        79
       144       101         8        33        79
       145       102         8        33        80
       146       103         8        33        80
       147       104         8        33        81
       148       105         8        33        81
       149       106         8        33        82
       150       107         8        33        82
       151       108         8        33        83
       152       109         8        33        83
       153       110         8        33        84
       154       111         8        33        84
       155       112         8        33        85
       156       113         8        33        85
       157       114         8        33        86
       158       115         8        33        86
       159       116         8        33        87
       160       117         8        33        87
       161       118         8        34        88
       162       119         8        34        88
       163       119         8        35        89
       164       120         8        35        89
       165       120         8        35        90
       166       121         8        35        90
       167       122         8        35        91
       168       123         8        35        91
       169       124         8        36        92
       170       125         8        36        92
       171       125         8        37        93
       172       126         8        37        93
       173       126         8        38        94
       174       127         8        38        94
       175       127         8        38        95
       176       128         8        38        95
       177       129         8        38        96
       178       130         8        38        96
       179       131         8        38        97
       180       132         8        38        97
       181       133         8        38        98
       182       134         8        38        98
       183       135         8        39        99
       184       136         8        39        99
       185       136         8        40       100
       186       137         8        40       100
       187       137         8        40       101
       188       138         8        40       101
       189       139         8        41       102
       190       140         8        41       102
       191       140         8        41       103
       192       141         8        41       103
       193       142         8        41       104
       194       143         8        41       104
       195       144         8        41       105
       196       145         8        41       105
       197       146         8        41       106
       198       147         8        41       106
       199       148         8        41       107
       200       149         8        41       107
       201       150         8        41       108
       202       151         8        41       108
       203       152         8        41       109
       204       153         8        41       109
       205       154         8        41       110
       206       155         8        41       110
       207       156         8        41       111
       208       157         8        41       111
       209       158         8        41       112
       210       159         8        41       112
       211       160         8        41       113
       212       161         8        41       113
       213       162         8        42       114
       214       163         8        42       114
       215       163         8        42       115
       216       164         8        42       115
       217       165         8        43       116
       218       166         8        43       116
       219       166         8        43       117
       220       167         8        43       117
       221       168         8        43       118
       222       169         8        43       118
       223       170         8        44       119
       224       171         8        44       119
       225       171         8        44       120
       226       172         8        44       120
       227       173         8        44       121
       228       174         8        44       121
       229       175         8        44       122
       230       176         8        44       122
       231       177         8        44       123
       232       178         8        44       123
       233       179         8        44       124
       234       180         8        44       124
       235       181         8        44       125
       236       182         8        44       125
       237       183         8        44       126
       238       184         8        44       126
       239       185         8        44       127
       240       186         8        44       127
       241       187         8        44       128
       242       188         8        44       128
       243       189         8        44       129
       244       190         8        44       129
       245       191         8        44       130
       246       192         8        44       130
       247       193         8        44       131
       248       194         8        44       131
       249       195         8        44       132
       250       196         8        44       132
       251       197         8        44       133
       252       198         8        44       133
       253       199         8        45       134
       254       200         8        45       134
       255       200         8        45       135
       256       201         8        45       135
       257       202         8        46       136
       258       203         8        46       136
       259       203         8        47       137
       260       204         8        47       137
       261       204         8        47       138
       262       205         8        47       138
       263       206         8        47       139
       264       207         8        47       139
       265       208         8        47       140
       266       209         8        47       140
       267       210         8        47       141
       268       211         8        47       141
       269       212         8        48       142
       270       213         8        48       142
       271       213         8        48       143
       272       214         8        48       143
       273       215         8        49       144
       274       216         8        49       144
       275       216         8        49       145
       276       217         8        49       145
       277       218         8        49       146
       278       219         8        49       146
       279       220         8        50       147
       280       221         8        50       147
       281       221         8        50       148
       282       222         8        50       148
       283       223         8        50       149
       284       224         8        50       149
       285       225         8        50       150
       286       226         8        50       150
       287       227         8        50       151
       288       228         8        50       151
       289       229         8        50       152
       290       230         8        50       152
       291       231         8        50       153
       292       232         8        50       153
       293       233         8        50       154
       294       234         8        50       154
       295       235         8        50       155
       296       236         8        50       155
       297       237         8        50       156
       298       238         8        50       156
       299       239         8        50       157
       300       240         8        50       157
       301       241         8        50       158
       302       242         8        50       158
       303       243         8        50       159
       304       244         8        50       159
       305       245         8        51       160
       306       246         8        51       160
       307       246         8        51       161
       308       247         8        51       161
       309       248         8        51       162
       310       249         8        51       162
       311       250         8        51       163
       312       251         8        51       163
       313       252         8        51       164
       314       253         8        51       164
       315       254         8        52       165
       316       255         8        52       165
       317       255         8        52       166
       318       256         8        52       166
       319       257         8        52       167
       320       258         8        52       167
       321       259         8        53       168
       322       260         8        53       168
       323       260         8        53       169
       324       261         8        53       169
       325       262         8        53       170
       326       263         8        53       170
       327       264         8        53       171
       328       265         8        53       171
       329       266         8        54       172
       330       267         8        54       172
       331       267         8        55       173
       332       268         8        55       173
       333       268         8        55       174
       334       269         8        55       174
       335       270         8        55       175
       336       271         8        55       175
       337       272         8        56       176
       338       273         8        56       176
       339       273         8        57       177
       340       274         8        57       177
       341       274         8        57       178
       342       275         8        57       178
       343       276         8        58       179
       344       277         8        58       179
       345       277         8        58       180
       346       278         8        58       180
       347       279         8        58       181
       348       280         8        58       181
       349       281         8        58       182
       350       282         8        58       182
       351       283         8        58       183
       352       284         8        58       183
       353       285         8        58       184
       354       286         8        58       184
       355       287         8        58       185
       356       288         8        58       185
       357       289         8        58       186
       358       290         8        58       186
       359       291         8        59       187
       360       292         8        59       187
       361       292         8        60       188
       362       293         8        60       188
       363       293         8        61       189
       364       294         8        61       189
       365       294         8        61       190
       366       295         8        61       190
       367       296         8        61       191
       368       297         8        61       191
       369       298         8        62       192
       370       299         8        62       192
       371       299         8        63       193
       372       300         8        63       193
       373       300         8        63       194
       374       301         8        63       194
       375       302         8        63       195
       376       303         8        63       195
       377       304         8        63       196
       378       305         8        63       196
       379       306         8        63       197
       380       307         8        63       197
       381       308         8        63       198
       382       309         8        63       198
       383       310         8        63       199
       384       311         8        63       199
       385       312         8        63       200
       386       313         8        63       200
       387       314         8        63       201
       388       315         8        63       201
       389       316         8        63       202
       390       317         8        63       202
       391       318         8        63       203
       392       319         8        63       203
       393       320         8        64       204
       394       321         8        64       204
       395       321         8        64       205
       396       322         8        64       205
       397       323         8        64       206
       398       324         8        64       206
       399       325         8        64       207
       400       326         8        64       207
       401       327         8        65       208
       402       328         8        65       208
       403       328         8        65       209
       404       329         8        65       209
       405       330         8        65       210
       406       331         8        65       210
       407       332         8        65       211
       408       333         8        65       211
       409       334         8        65       212
       410       335         8        65       212
       411       336         8        65       213
       412       337         8        65       213
       413       338         8        65       214
       414       339         8        65       214
       415       340         8        66       215
       416       341         8        66       215
       417       341         8        66       216
       418       342         8        66       216
       419       343         8        67       217
       420       344         8        67       217
       421       344         8        68       218
       422       345         8        68       218
       423       345         8        69       219
       424       346         8        69       219
       425       346         8        69       220
       426       347         8        69       220
       427       348         8        69       221
       428       349         8        69       221
       429       350         8        69       222
       430       351         8        69       222
       431       352         8        70       223
       432       353         8        70       223
       433       353         8        70       224
       434       354         8        70       224
       435       355         8        70       225
       436       356         8        70       225
       437       357         8        70       226
       438       358         8        70       226
       439       359         8        70       227
       440       360         8        70       227
       441       361         8        71       228
       442       362         8        71       228
       443       362         8        72       229
       444       363         8        72       229
       445       363         8        72       230
       446       364         8        72       230
       447       365         8        73       231
       448       366         8        73       231
       449       366         8        74       232
       450       367         8        74       232
       451       367         8        74       233
       452       368         8        74       233
       453       369         8        75       234
       454       370         8        75       234
       455       370         8        75       235
       456       371         8        75       235
       457       372         8        75       236
       458       373         8        75       236
       459       374         8        75       237
       460       375         8        75       237
       461       376         8        76       238
       462       377         8        76       238
       463       377         8        76       239
       464       378         8        76       239
       465       379         8        76       240
       466       380         8        76       240
       467       381         8        76       241
       468       382         8        76       241
       469       383         8        77       242
       470       384         8        77       242
       471       384         8        77       243
       472       385         8        77       243
       473       386         8        77       244
       474       387         8        77       244
       475       388         8        77       245
       476       389         8        77       245
       477       390         8        77       246
       478       391         8        77       246
       479       392         8        78       247
       480       393         8        78       247
       481       393         8        78       248
       482       394         8        78       248
       483       395         8        78       249
       484       396         8        78       249
       485       397         8        78       250
       486       398         8        78       250
       487       399         8        78       251
       488       400         8        78       251
       489       401         8        79       252
       490       402         8        79       252
       491       402         8        79       253
       492       403         8        79       253
       493       404         8        80       254
       494       405         8        80       254
       495       405         8        80       255
       496       406         8        80       255
       497       407         8        80       256
       498       408         8        80       256
       499       409         8        80       257
       500       410         8        80       257
       501       411         8        80       258
       502       412         8        80       258
       503       413         8        80       259
       504       414         8        80       259
       505       415         8        80       260
       506       416         8        80       260
       507       417         8        80       261
       508       418         8        80       261
       509       419         8        80       262
       510       420         8        80       262
       511       421         8        81       263
       512       422         8        81       263
       513       422         8        81       264
       514       423         8        81       264
       515       424         8        82       265
       516       425         8        82       265
       517       425         8        82       266
       518       426         8        82       266
       519       427         8        82       267
       520       428         8        82       267
       521       429         8        83       268
       522       430         8        83       268
       523       430         8        84       269
       524       431         8        84       269
       525       431         8        84       270
       526       432         8        84       270
       527       433         8        84       271
       528       434         8        84       271
       529       435         8        84       272
       530       436         8        84       272
       531       437         8        85       273
       532       438         8        85       273
       533       438         8        85       274
       534       439         8        85       274
       535       440         8        86       275
       536       441         8        86       275
       537       441         8        86       276
       538       442         8        86       276
       539       443         8        86       277
       540       444         8        86       277
       541       445         8        86       278
       542       446         8        86       278
       543       447         8        86       279
       544       448         8        86       279
       545       449         8        87       280
       546       450         8        87       280
       547       450         8        87       281
       548       451         8        87       281
       549       452         8        87       282
       550       453         8        87       282
       551       454         8        87       283
       552       455         8        87       283
       553       456         8        87       284
       554       457         8        87       284
       555       458         8        87       285
       556       459         8        87       285
       557       460         8        88       286
       558       461         8        88       286
       559       461         8        88       287
       560       462         8        88       287
       561       463         8        88       288
       562       464         8        88       288
       563       465         8        89       289
       564       466         8        89       289
       565       466         8        89       290
       566       467         8        89       290
       567       468         8        90       291
       568       469         8        90       291
       569       469         8        90       292
       570       470         8        90       292
       571       471         8        91       293
       572       472         8        91       293
       573       472         8        92       294
       574       473         8        92       294
       575       473         8        92       295
       576       474         8        92       295
       577       475         8        92       296
       578       476         8        92       296
       579       477         8        92       297
       580       478         8        92       297
       581       479         8        93       298
       582       480         8        93       298
       583       480         8        93       299
       584       481         8        93       299
       585       482         8        94       300
       586       483         8        94       300
       587       483         8        94       301
       588       484         8        94       301
       589       485         8        94       302
       590       486         8        94       302
       591       487         8        94       303
       592       488         8        94       303
       593       489         8        94       304
       594       490         8        94       304
       595       491         8        94       305
       596       492         8        94       305
       597       493         8        94       306
       598       494         8        94       306
       599       495         8        95       307
       600       496         8        95       307
       601       496         8        95       308
       602       497         8        95       308
       603       498         8        96       309
       604       499         8        96       309
       605       499         8        96       310
       606       500         8        96       310
       607       501         8        97       311
       608       502         8        97       311
       609       502         8        97       312
       610       503         8        97       312
       611       504         8        98       313
       612       505         8        98       313
       613       505         8        99       314
       614       506         8        99       314
       615       506         8        99       315
       616       507         8        99       315
       617       508         8        99       316
       618       509         8        99       316
       619       510         8       100       317
       620       511         8       100       317
       621       511         8       100       318
       622       512         8       100       318
       623       513         8       101       319
       624       514         8       101       319
       625       514         8       101       320
       626       515         8       101       320
       627       516         8       101       321
       628       517         8       101       321
       629       518         8       101       322
       630       519         8       101       322
       631       520         8       101       323
       632       521         8       101       323
       633       522         8       102       324
       634       523         8       102       324
       635       523         8       103       325
       636       524         8       103       325
       637       524         8       104       326
       638       525         8       104       326
       639       525         8       104       327
       640       526         8       104       327
       641       527         8       104       328
       642       528         8       104       328
       643       529         8       104       329
       644       530         8       104       329
       645       531         8       104       330
       646       532         8       104       330
       647       533         8       104       331
       648       534         8       104       331
       649       535         8       104       332
       650       536         8       104       332
       651       537         8       104       333
       652       538         8       104       333
       653       539         8       104       334
       654       540         8       104       334
       655       541         8       104       335
       656       542         8       104       335
       657       543         8       104       336
       658       544         8       104       336
       659       545         8       105       337
       660       546         8       105       337
       661       546         8       106       338
       662       547         8       106       338
       663       547         8       106       339
       664       548         8       106       339
       665       549         8       106       340
       666       550         8       106       340
       667       551         8       106       341
       668       552         8       106       341
       669       553         8       107       342
       670       554         8       107       342
       671       554         8       107       343
       672       555         8       107       343
       673       556         8       108       344
       674       557         8       108       344
       675       557         8       108       345
       676       558         8       108       345
       677       559         8       108       346
       678       560         8       108       346
       679       561         8       109       347
       680       562         8       109       347
       681       562         8       109       348
       682       563         8       109       348
       683       564         8       110       349
       684       565         8       110       349
       685       565         8       110       350
       686       566         8       110       350
       687       567         8       111       351
       688       568         8       111       351
       689       568         8       111       352
       690       569         8       111       352
       691       570         8       112       353
       692       571         8       112       353
       693       571         8       112       354
       694       572         8       112       354
       695       573         8       112       355
       696       574         8       112       355
       697       575         8       112       356
       698       576         8       112       356
       699       577         8       112       357
       700       578         8       112       357
       701       579         8       112       358
       702       580         8       112       358
       703       581         8       112       359
       704       582         8       112       359
       705       583         8       113       360
       706       584         8       113       360
       707       584         8       114       361
       708       585         8       114       361
       709       585         8       114       362
       710       586         8       114       362
       711       587         8       114       363
       712       588         8       114       363
       713       589         8       114       364
       714       590         8       114       364
       715       591         8       114       365
       716       592         8       114       365
       717       593         8       114       366
       718       594         8       114       366
       719       595         8       115       367
       720       596         8       115       367
       721       596         8       116       368
       722       597         8       116       368
       723       597         8       116       369
       724       598         8       116       369
       725       599         8       116       370
       726       600         8       116       370
       727       601         8       116       371
       728       602         8       116       371
       729       603         8       117       372
       730       604         8       117       372
       731       604         8       117       373
       732       605         8       117       373
       733       606         8       118       374
       734       607         8       118       374
       735       607         8       118       375
       736       608         8       118       375
       737       609         8       119       376
       738       610         8       119       376
       739       610         8       120       377
       740       611         8       120       377
       741       611         8       120       378
       742       612         8       120       378
       743       613         8       120       379
       744       614         8       120       379
       745       615         8       121       380
       746       616         8       121       380
       747       616         8       121       381
       748       617         8       121       381
       749       618         8       121       382
       750       619         8       121       382
       751       620         8       121       383
       752       621         8       121       383
       753       622         8       121       384
       754       623         8       121       384
       755       624         8       122       385
       756       625         8       122       385
       757       625         8       122       386
       758       626         8       122       386
       759       627         8       123       387
       760       628         8       123       387
       761       628         8       124       388
       762       629         8       124       388
       763       629         8       124       389
       764       630         8       124       389
       765       631         8       124       390
       766       632         8       124       390
       767       633         8       124       391
       768       634         8       124       391
       769       635         8       124       392
       770       636         8       124       392
       771       637         8       125       393
       772       638         8       125       393
       773       638         8       125       394
       774       639         8       125       394
       775       640         8       125       395
       776       641         8       125       395
       777       642         8       125       396
       778       643         8       125       396
       779       644         8       125       397
       780       645         8       125       397
       781       646         8       126       398
       782       647         8       126       398
       783       647         8       126       399
       784       648         8       126       399
       785       649         8       126       400
       786       650         8       126       400
       787       651         8       127       401
       788       652         8       127       401
       789       652         8       127       402
       790       653         8       127       402
       791       654         8       127       403
       792       655         8       127       403
       793       656         8       127       404
       794       657         8       127       404
       795       658         8       127       405
       796       659         8       127       405
       797       660         8       128       406
       798       661         8       128       406
       799       661         8       128       407
       800       662         8       128       407
       801       663         8       128       408
       802       664         8       128       408
       803       665         8       128       409
       804       666         8       128       409
       805       667         8       128       410
       806       668         8       128       410
       807       669         8       129       411
       808       670         8       129       411
       809       670         8       129       412
       810       671         8       129       412
       811       672         8       130       413
       812       673         8       130       413
       813       673         8       130       414
       814       674         8       130       414
       815       675         8       130       415
       816       676         8       130       415
       817       677         8       130       416
       818       678         8       130       416
       819       679         8       130       417
       820       680         8       130       417
       821       681         8       130       418
       822       682         8       130       418
       823       683         8       130       419
       824       684         8       130       419
       825       685         8       130       420
       826       686         8       130       420
       827       687         8       130       421
       828       688         8       130       421
       829       689         8       130       422
       830       690         8       130       422
       831       691         8       130       423
       832       692         8       130       423
       833       693         8       130       424
       834       694         8       130       424
       835       695         8       130       425
       836       696         8       130       425
       837       697         8       130       426
       838       698         8       130       426
       839       699         8       130       427
       840       700         8       130       427
       841       701         8       130       428
       842       702         8       130       428
       843       703         8       130       429
       844       704         8       130       429
       845       705         8       131       430
       846       706         8       131       430
       847       706         8       131       431
       848       707         8       131       431
       849       708         8       131       432
       850       709         8       131       432
       851       710         8       131       433
       852       711         8       131       433
       853       712         8       131       434
       854       713         8       131       434
       855       714         8       131       435
       856       715         8       131       435
       857       716         8       131       436
       858       717         8       131       436
       859       718         8       132       437
       860       719         8       132       437
       861       719         8       132       438
       862       720         8       132       438
       863       721         8       133       439
       864       722         8       133       439
       865       722         8       134       440
       866       723         8       134       440
       867       723         8       135       441
       868       724         8       135       441
       869       724         8       136       442
       870       725         8       136       442
       871       725         8       136       443
       872       726         8       136       443
       873       727         8       136       444
       874       728         8       136       444
       875       729         8       137       445
       876       730         8       137       445
       877       730         8       137       446
       878       731         8       137       446
       879       732         8       137       447
       880       733         8       137       447
       881       734         8       137       448
       882       735         8       137       448
       883       736         8       138       449
       884       737         8       138       449
       885       737         8       139       450
       886       738         8       139       450
       887       738         8       139       451
       888       739         8       139       451
       889       740         8       139       452
       890       741         8       139       452
       891       742         8       139       453
       892       743         8       139       453
       893       744         8       139       454
       894       745         8       139       454
       895       746         8       140       455
       896       747         8       140       455
       897       747         8       140       456
       898       748         8       140       456
       899       749         8       140       457
       900       750         8       140       457
       901       751         8       141       458
       902       752         8       141       458
       903       752         8       142       459
       904       753         8       142       459
       905       753         8       143       460
       906       754         8       143       460
       907       754         8       144       461
       908       755         8       144       461
       909       755         8       144       462
       910       756         8       144       462
       911       757         8       144       463
       912       758         8       144       463
       913       759         8       144       464
       914       760         8       144       464
       915       761         8       144       465
       916       762         8       144       465
       917       763         8       144       466
       918       764         8       144       466
       919       765         8       144       467
       920       766         8       144       467
       921       767         8       145       468
       922       768         8       145       468
       923       768         8       146       469
       924       769         8       146       469
       925       769         8       147       470
       926       770         8       147       470
       927       770         8       147       471
       928       771         8       147       471
       929       772         8       147       472
       930       773         8       147       472
       931       774         8       147       473
       932       775         8       147       473
       933       776         8       148       474
       934       777         8       148       474
       935       777         8       148       475
       936       778         8       148       475
       937       779         8       148       476
       938       780         8       148       476
       939       781         8       149       477
       940       782         8       149       477
       941       782         8       149       478
       942       783         8       149       478
       943       784         8       150       479
       944       785         8       150       479
       945       785         8       150       480
       946       786         8       150       480
       947       787         8       150       481
       948       788         8       150       481
       949       789         8       150       482
       950       790         8       150       482
       951       791         8       150       483
       952       792         8       150       483
       953       793         8       150       484
       954       794         8       150       484
       955       795         8       150       485
       956       796         8       150       485
       957       797         8       151       486
       958       798         8       151       486
       959       798         8       151       487
       960       799         8       151       487
       961       800         8       151       488
       962       801         8       151       488
       963       802         8       152       489
       964       803         8       152       489
       965       803         8       153       490
       966       804         8       153       490
       967       804         8       153       491
       968       805         8       153       491
       969       806         8       153       492
       970       807         8       153       492
       971       808         8       154       493
       972       809         8       154       493
       973       809         8       155       494
       974       810         8       155       494
       975       810         8       156       495
       976       811         8       156       495
       977       811         8       157       496
       978       812         8       157       496
       979       812         8       157       497
       980       813         8       157       497
       981       814         8       158       498
       982       815         8       158       498
       983       815         8       158       499
       984       816         8       158       499
       985       817         8       158       500
       986       818         8       158       500
       987       819         8       158       501
       988       820         8       158       501
       989       821         8       159       502
       990       822         8       159       502
       991       822         8       159       503
       992       823         8       159       503
       993       824         8       159       504
       994       825         8       159       504
       995       826         8       159       505
       996       827         8       159       505
       997       828         8       159       506
       998       829         8       159       506
       999       830         8       160       507
      1000       831         8       160       507
