      Time        Ns        Nh        Nq        Tw
         1         0         0         0         0
         2         0         0         0         1
         3         1         0         0         1
         4         2         0         0         2
         5         3         0         0         2
         6         4         0         0         3
         7         5         0         0         3
         8         6         0         0         4
         9         7         0         0         4
        10         8         0         0         5
        11         9         1         0         5
        12        10         1         0         5
        13        10         1         1         6
        14        11         1         1         6
        15        11         1         1         7
        16        12         2         1         7
        17        12         2         2         8
        18        13         2         3         9
        19        13         2         3         9
        20        13         2         3        10
        21        14         2         3        10
        22        15         2         3        11
        23        16         2         3        11
        24        17         2         3        12
        25        18         2         3        12
        26        19         2         4        13
        27        20         3         4        13
        28        20         3         4        13
        29        20         3         4        14
        30        21         3         4        14
        31        22         3         4        15
        32        23         3         4        15
        33        24         3         5        16
        34        24         4         5        16
        35        24         4         5        17
        36        25         4         5        17
        37        26         4         5        18
        38        27         4         5        18
        39        28         4         6        19
        40        29         4         6        19
        41        29         5         6        20
        42        30         5         6        20
        43        30         5         6        21
        44        31         6         6        21
        45        31         6         7        22
        46        32         6         7        22
        47        32         6         8        23
        48        33         6         8        23
        49        33         6         8        24
        50        34         6         8        24
        51        35         6         8        25
        52        36         7         8        25
        53        37         7         8        25
        54        37         7         9        26
        55        38         7         9        26
        56        38         7         9        27
        57        39         7         9        27
        58        40         7         9        28
        59        41         7         9        28
        60        42         7         9        29
        61        43         7         9        29
        62        44         7         9        30
        63        45         7         9        30
        64        46         7         9        31
        65        47         8         9        31
        66        48         8         9        31
        67        48         8        10        32
        68        49         9        10        32
        69        49         9        10        32
        70        49         9        11        33
        71        50         9        11        33
        72        50         9        12        34
        73        51         9        12        34
        74        51         9        12        35
        75        52         9        12        35
        76        53         9        13        36
        77        54         9        12        36
        78        54         9        12        37
        79        56         9        13        39
        80        57         9        12        39
        81        57         9        12        41
        82        59         9        12        41
        83        60         9        13        42
        84        61         9        13        42
        85        61         9        13        43
        86        61        10        13        43
        87        61        10        14        44
        88        63        10        14        44
        89        63        10        15        45
        90        64        10        15        45
        91        64        11        16        46
        92        64        11        16        46
        93        64        12        16        47
        94        65        12        16        47
        95        65        12        16        48
        96        66        12        16        48
        97        67        12        17        49
        98        68        13        17        49
        99        68        13        17        49
       100        68        13        17        50
       101        69        13        17        50
       102        70        13        17        51
       103        71        13        17        51
       104        72        13        17        52
       105        73        13        17        52
       106        74        13        17        53
       107        75        13        17        53
       108        76        13        17        54
       109        77        13        17        54
       110        78        13        17        55
       111        79        13        17        55
       112        80        13        17        56
       113        81        13        17        56
       114        82        13        17        57
       115        83        13        17        57
       116        84        13        17        58
       117        85        13        17        58
       118        86        13        17        59
       119        87        13        17        59
       120        88        13        18        60
       121        89        13        18        60
       122        89        13        19        61
       123        90        13        19        61
       124        90        13        20        62
       125        91        13        21        63
       126        91        13        21        64
       127        91        13        22        68
       128        92        13        22        69
       129        92        13        23        72
       130        93        13        23        77
       131        93        13        24        80
       132        94        13        24        82
       133        94        13        25        89
       134        95        13        25        93
       135        95        13        26        96
       136        96        13        27        99
       137        96        13        28       104
       138        96        13        29       108
       139        96        13        29       111
       140        96        13        30       114
       141        97        13        30       116
       142        97        13        31       120
       143        98        13        31       123
       144        98        13        31       128
       145        99        13        32       132
       146       100        13        33       136
       147       100        13        34       143
       148       100        13        34       147
       149       100        13        35       152
       150       101        13        36       157
       151       101        13        37       163
       152       101        13        38       169
       153       101        13        39       173
       154       101        13        40       177
       155       101        13        41       182
       156       101        13        42       188
       157       101        13        43       196
       158       101        13        43       200
       159       101        13        44       205
       160       102        13        44       208
       161       102        13        45       215
       162       103        13        46       219
       163       103        13        46       222
       164       103        13        47       226
       165       104        13        48       230
       166       104        13        48       234
       167       104        13        48       239
       168       105        13        49       244
       169       106        13        50       249
       170       106        13        51       257
       171       106        13        51       264
       172       106        13        52       270
       173       107        13        53       277
       174       107        13        53       282
       175       107        13        54       288
       176       108        13        54       293
       177       108        13        54       299
       178       109        13        54       304
       179       110        13        55       310
       180       111        13        55       315
       181       111        13        56       320
       182       112        13        56       324
       183       112        13        57       329
       184       113        13        57       333
       185       113        13        58       339
       186       114        13        59       344
       187       114        13        60       350
       188       114        13        61       355
       189       114        13        62       360
       190       114        13        63       365
       191       114        13        64       371
       192       114        13        65       376
       193       114        13        66       382
       194       114        13        67       386
       195       114        13        68       392
       196       114        13        69       399
       197       114        13        70       404
       198       114        13        71       414
       199       114        13        71       421
       200       114        13        72       428
       201       115        13        73       436
       202       115        13        73       441
       203       115        13        74       447
       204       116        13        74       453
       205       116        13        75       459
       206       117        13        76       467
       207       117        13        76       472
       208       117        13        77       478
       209       118        13        78       486
       210       118        13        78       494
       211       118        13        78       501
       212       119        13        79       507
       213       120        13        80       516
       214       120        13        81       522
       215       120        13        82       529
       216       120        13        82       534
       217       120        13        83       540
       218       121        13        83       545
       219       121        13        84       552
       220       122        13        85       561
       221       122        13        86       568
       222       122        13        86       576
       223       122        13        87       583
       224       123        13        87       589
       225       123        13        88       597
       226       124        13        89       605
       227       124        13        90       612
       228       124        13        91       619
       229       124        13        92       627
       230       124        13        93       635
       231       124        13        94       644
       232       124        13        95       651
       233       124        13        96       658
       234       124        13        97       668
       235       124        13        98       677
       236       124        13        99       685
       237       124        13       100       693
       238       124        13       101       702
       239       124        13       102       711
       240       124        13       103       718
       241       124        13       103       724
       242       124        13       104       730
       243       125        13       105       737
       244       125        13       106       744
       245       125        13       107       752
       246       125        13       108       759
       247       125        13       108       764
       248       125        13       108       771
       249       126        13       109       780
       250       127        13       110       786
       251       127        13       110       791
       252       127        13       111       798
       253       128        13       111       802
       254       128        13       112       808
       255       129        13       112       812
       256       129        13       113       819
       257       130        13       114       825
       258       130        13       115       832
       259       130        13       116       842
       260       130        13       117       852
       261       130        13       117       858
       262       130        13       118       866
       263       131        13       118       871
       264       131        13       119       881
       265       132        13       120       887
       266       132        13       121       893
       267       132        13       122       899
       268       132        13       123       905
       269       132        13       124       909
       270       132        13       125       913
       271       132        13       126       917
       272       132        13       126       921
       273       132        13       127       926
       274       133        13       128       931
       275       133        13       128       935
       276       133        13       129       940
       277       134        13       130       945
       278       134        13       131       950
       279       134        13       132       954
       280       134        13       133       960
       281       134        13       134       965
       282       134        13       135       971
       283       134        13       135       977
       284       134        13       136       982
       285       135        13       137       987
       286       135        13       137       993
       287       135        13       138       999
       288       136        13       139      1004
       289       136        13       140      1009
       290       136        13       141      1014
       291       136        13       142      1019
       292       136        13       143      1025
       293       136        13       144      1031
       294       136        13       145      1038
       295       136        13       146      1046
       296       136        13       147      1052
       297       136        13       148      1059
       298       136        13       149      1067
       299       136        13       150      1074
       300       136        13       150      1078
       301       136        13       151      1082
       302       137        13       152      1086
       303       137        13       153      1089
       304       137        13       153      1092
       305       137        13       153      1097
       306       138        13       153      1100
       307       139        13       154      1103
       308       140        13       154      1106
       309       140        13       155      1110
       310       141        13       156      1113
       311       141        13       157      1117
       312       141        13       158      1122
       313       141        13       159      1128
       314       141        13       159      1133
       315       141        13       160      1140
       316       142        13       161      1147
       317       142        13       162      1154
       318       142        13       162      1159
       319       142        13       163      1166
       320       143        13       164      1172
       321       143        13       164      1179
       322       143        13       165      1188
       323       144        13       165      1193
       324       144        13       166      1199
       325       145        13       166      1204
       326       145        13       167      1209
       327       146        13       167      1215
       328       146        13       168      1224
       329       147        13       169      1231
       330       147        13       169      1237
       331       147        13       169      1246
       332       148        13       169      1251
       333       149        13       170      1260
       334       150        13       171      1267
       335       150        13       172      1274
       336       150        13       173      1280
       337       150        13       174      1287
       338       150        13       174      1292
       339       150        13       175      1298
       340       151        13       175      1303
       341       151        13       176      1312
       342       152        13       177      1318
       343       152        13       178      1325
       344       152        13       179      1330
       345       152        13       180      1336
       346       152        13       181      1342
       347       152        13       182      1350
       348       152        13       182      1357
       349       152        13       183      1366
       350       153        13       183      1373
       351       153        13       184      1380
       352       154        13       184      1387
       353       154        13       185      1393
       354       155        13       186      1400
       355       155        13       187      1406
       356       155        13       187      1414
       357       155        13       188      1418
       358       156        13       189      1423
       359       156        13       190      1428
       360       156        13       191      1434
       361       156        13       192      1438
       362       156        13       193      1442
       363       156        13       194      1449
       364       156        13       195      1455
       365       156        13       196      1460
       366       156        13       197      1466
       367       156        13       198      1472
       368       156        13       199      1479
       369       156        13       200      1488
       370       156        13       201      1494
       371       156        13       202      1502
       372       156        13       203      1509
       373       156        13       203      1514
       374       156        13       204      1519
       375       157        13       205      1524
       376       157        13       206      1529
       377       157        13       206      1533
       378       157        13       206      1537
       379       158        13       207      1543
       380       159        13       208      1550
       381       159        13       208      1557
       382       159        13       209      1564
       383       160        13       210      1569
       384       160        13       210      1574
       385       160        13       211      1581
       386       161        13       212      1589
       387       161        13       213      1598
       388       161        13       214      1605
       389       161        13       214      1613
       390       161        13       215      1621
       391       162        13       216      1629
       392       162        13       217      1636
       393       162        13       218      1645
       394       162        13       219      1652
       395       162        13       220      1661
       396       162        13       221      1668
       397       162        13       221      1675
       398       162        13       222      1684
       399       163        13       222      1692
       400       163        13       223      1700
       401       164        13       224      1708
       402       164        13       225      1714
       403       164        13       226      1720
       404       164        13       227      1727
       405       164        13       228      1734
       406       164        13       229      1741
       407       164        13       230      1749
       408       164        13       231      1757
       409       164        13       231      1765
       410       164        13       232      1774
       411       165        13       233      1781
       412       165        13       234      1788
       413       165        13       235      1798
       414       165        13       235      1805
       415       165        13       236      1814
       416       166        13       236      1822
       417       166        13       237      1828
       418       167        13       238      1833
       419       167        13       239      1839
       420       167        13       239      1846
       421       167        13       240      1852
       422       168        13       241      1859
       423       168        13       241      1865
       424       168        13       242      1872
       425       169        13       243      1879
       426       169        13       244      1887
       427       169        13       245      1893
       428       169        13       244      1900
       429       169        13       245      1906
       430       171        13       245      1911
       431       171        13       246      1919
       432       172        13       246      1926
       433       172        13       246      1931
       434       173        13       247      1938
       435       174        13       248      1945
       436       174        13       249      1951
       437       174        13       250      1956
       438       174        13       251      1962
       439       174        13       252      1969
       440       174        13       253      1977
       441       174        13       254      1983
       442       174        13       255      1990
       443       174        13       256      1998
       444       174        13       257      2006
       445       174        13       258      2015
       446       174        13       258      2023
       447       174        13       259      2030
       448       175        13       260      2036
       449       175        13       261      2046
       450       175        13       261      2053
       451       175        13       262      2060
       452       176        13       263      2068
       453       176        13       263      2074
       454       176        13       264      2082
       455       177        13       265      2087
       456       177        13       265      2093
       457       177        13       266      2099
       458       178        13       267      2105
       459       178        13       268      2112
       460       178        13       267      2118
       461       178        13       268      2125
       462       180        13       269      2133
       463       180        13       270      2139
       464       180        13       271      2146
       465       180        13       272      2153
       466       180        13       273      2160
       467       180        13       273      2165
       468       180        13       274      2171
       469       181        13       275      2176
       470       181        13       276      2181
       471       181        13       276      2185
       472       181        13       277      2190
       473       182        13       278      2194
       474       182        13       278      2197
       475       182        13       279      2201
       476       183        13       280      2205
       477       183        13       281      2209
       478       183        13       281      2215
       479       183        13       282      2220
       480       184        13       283      2225
       481       184        13       284      2230
       482       184        13       285      2237
       483       184        13       286      2241
       484       184        13       287      2246
       485       184        13       287      2252
       486       184        13       288      2257
       487       185        13       289      2263
       488       185        13       290      2269
       489       185        13       291      2275
       490       185        13       292      2282
       491       185        13       293      2287
       492       185        13       294      2293
       493       185        13       295      2298
       494       185        13       296      2306
       495       185        13       297      2312
       496       185        13       298      2316
       497       185        13       299      2321
       498       185        13       300      2328
       499       185        13       301      2335
       500       185        13       301      2345
       501       185        13       302      2353
       502       186        13       303      2358
       503       186        13       304      2365
       504       186        13       304      2369
       505       186        13       305      2375
       506       187        13       306      2380
       507       187        13       307      2387
       508       187        13       308      2395
       509       187        13       308      2400
       510       187        13       309      2404
       511       188        13       309      2409
       512       188        13       309      2414
       513       189        13       310      2420
       514       190        13       311      2427
       515       190        13       311      2432
       516       190        13       312      2438
       517       191        13       313      2444
       518       191        13       314      2450
       519       191        13       314      2456
       520       191        13       315      2462
       521       192        13       316      2467
       522       192        13       317      2473
       523       192        13       318      2478
       524       192        13       319      2482
       525       192        13       319      2486
       526       192        13       319      2491
       527       193        13       319      2494
       528       194        13       320      2499
       529       195        13       321      2504
       530       195        13       321      2509
       531       195        13       322      2516
       532       196        13       322      2520
       533       196        13       322      2523
       534       197        13       323      2527
       535       198        13       324      2530
       536       198        13       325      2534
       537       198        13       326      2538
       538       198        13       327      2542
       539       198        13       328      2546
       540       198        13       329      2552
       541       198        13       330      2558
       542       198        13       331      2563
       543       198        13       332      2569
       544       198        13       333      2576
       545       198        13       334      2582
       546       198        13       335      2587
       547       198        13       335      2591
       548       198        13       336      2597
       549       199        13       337      2602
       550       199        13       337      2607
       551       199        13       337      2612
       552       200        13       338      2619
       553       201        13       338      2626
       554       201        13       339      2635
       555       202        13       340      2642
       556       202        13       340      2648
       557       202        13       341      2652
       558       203        13       342      2656
       559       203        13       342      2661
       560       203        13       343      2666
       561       204        13       344      2672
       562       204        13       344      2677
       563       204        13       345      2684
       564       205        13       345      2689
       565       205        13       346      2694
       566       206        13       347      2701
       567       206        13       348      2707
       568       206        13       348      2711
       569       206        13       349      2716
       570       207        13       350      2723
       571       207        13       350      2727
       572       207        13       351      2734
       573       208        13       352      2742
       574       208        13       353      2749
       575       208        13       354      2755
       576       208        13       355      2762
       577       208        13       356      2770
       578       208        13       357      2775
       579       208        13       358      2781
       580       208        13       359      2788
       581       208        13       360      2793
       582       208        13       361      2799
       583       208        13       362      2804
       584       208        13       363      2810
       585       208        13       364      2814
       586       208        13       365      2819
       587       208        13       365      2823
       588       208        13       366      2829
       589       209        13       367      2836
       590       209        13       368      2843
       591       209        13       368      2849
       592       209        13       369      2855
       593       210        13       370      2862
       594       210        13       370      2869
       595       210        13       371      2877
       596       211        13       372      2883
       597       211        13       372      2889
       598       211        13       372      2893
       599       212        13       373      2898
       600       213        13       374      2902
       601       213        13       375      2906
       602       213        13       376      2909
       603       213        13       376      2912
       604       213        13       377      2915
       605       214        13       378      2919
       606       214        13       379      2925
       607       214        13       379      2933
       608       214        13       380      2937
       609       215        13       380      2940
       610       215        13       381      2944
       611       216        13       382      2948
       612       216        13       383      2952
       613       216        13       384      2956
       614       216        13       385      2960
       615       216        13       386      2964
       616       216        13       387      2968
       617       216        13       388      2972
       618       216        13       389      2977
       619       216        13       389      2981
       620       216        13       390      2985
       621       217        13       390      2989
       622       217        13       391      2995
       623       218        13       392      3001
       624       218        13       393      3009
       625       218        13       394      3015
       626       218        13       395      3023
       627       218        13       396      3031
       628       218        13       397      3036
       629       218        13       398      3041
       630       218        13       399      3047
       631       218        13       400      3053
       632       218        13       401      3060
       633       218        13       401      3065
       634       218        13       402      3071
       635       219        13       402      3076
       636       219        13       403      3084
       637       220        13       404      3089
       638       220        13       405      3096
       639       220        13       406      3104
       640       220        13       407      3108
       641       220        13       408      3111
       642       220        13       409      3114
       643       220        13       410      3117
       644       220        13       411      3120
       645       220        13       412      3125
       646       220        13       413      3131
       647       220        13       414      3137
       648       220        13       415      3142
       649       220        13       416      3148
       650       220        13       417      3154
       651       220        13       418      3162
       652       220        13       418      3166
       653       220        13       419      3170
       654       221        13       420      3175
       655       221        13       420      3180
       656       221        13       421      3186
       657       222        13       422      3195
       658       222        13       419      3195
       659       222        13       419      3198
       660       225        13       417      3198
       661       225        13       418      3201
       662       227        13       418      3203
       663       227        13       419      3206
       664       229        13       420      3210
       665       229        13       421      3214
       666       229        13       422      3218
       667       229        13       423      3221
       668       229        13       424      3224
       669       229        13       425      3227
       670       229        13       426      3231
       671       229        13       427      3235
       672       229        13       428      3239
       673       229        13       429      3243
       674       229        13       430      3246
       675       229        13       431      3252
       676       229        13       431      3258
       677       229        13       431      3262
       678       230        13       432      3266
       679       231        13       431      3268
       680       231        13       432      3271
       681       231        13       433      3274
       682       231        13       434      3279
       683       231        13       435      3283
       684       231        13       436      3288
       685       231        13       437      3293
       686       231        13       437      3298
       687       231        13       438      3303
       688       232        13       439      3308
       689       232        13       439      3313
       690       232        13       440      3318
       691       233        13       440      3323
       692       233        13       441      3329
       693       234        13       441      3334
       694       234        13       441      3339
       695       235        13       442      3346
       696       236        13       442      3352
       697       236        13       443      3359
       698       237        13       443      3364
       699       237        13       444      3371
       700       238        13       445      3377
       701       238        13       446      3382
       702       238        13       447      3389
       703       238        13       448      3396
       704       238        13       448      3403
       705       238        13       449      3409
       706       239        13       449      3415
       707       239        13       450      3419
       708       240        13       451      3424
       709       240        13       452      3429
       710       240        13       453      3436
       711       240        13       454      3441
       712       240        13       455      3446
       713       240        13       455      3451
       714       240        13       455      3458
       715       241        13       456      3464
       716       242        13       457      3470
       717       242        13       457      3476
       718       242        13       458      3484
       719       243        13       458      3490
       720       243        13       459      3495
       721       244        13       460      3501
       722       244        13       461      3506
       723       244        13       462      3511
       724       244        13       463      3518
       725       244        13       464      3524
       726       244        13       465      3530
       727       244        13       466      3537
       728       244        13       467      3543
       729       244        13       468      3549
       730       244        13       469      3557
       731       244        13       470      3564
       732       244        13       471      3571
       733       244        13       472      3576
       734       244        13       473      3580
       735       244        13       474      3586
       736       244        13       475      3595
       737       244        13       476      3601
       738       244        13       477      3605
       739       244        13       478      3610
       740       244        13       479      3615
       741       244        13       480      3620
       742       244        13       480      3626
       743       244        13       481      3630
       744       245        13       482      3636
       745       245        13       482      3641
       746       245        13       483      3647
       747       246        13       483      3651
       748       246        13       484      3657
       749       247        13       485      3663
       750       247        13       485      3669
       751       247        13       486      3676
       752       248        13       486      3683
       753       248        13       487      3690
       754       249        13       488      3697
       755       249        13       489      3706
       756       249        13       489      3711
       757       249        13       490      3718
       758       250        13       491      3725
       759       250        13       492      3731
       760       250        13       493      3737
       761       250        13       494      3744
       762       250        13       495      3754
       763       250        13       496      3762
       764       250        13       497      3771
       765       250        13       498      3779
       766       250        13       499      3790
       767       250        13       500      3801
       768       250        13       501      3811
       769       250        13       501      3818
       770       250        13       502      3826
       771       251        13       502      3834
       772       251        13       503      3845
       773       252        13       503      3856
       774       252        13       504      3865
       775       253        13       505      3872
       776       253        13       506      3880
       777       253        13       507      3886
       778       253        13       507      3894
       779       253        13       508      3899
       780       254        13       509      3907
       781       254        13       510      3915
       782       254        13       511      3923
       783       254        13       512      3930
       784       254        13       513      3939
       785       254        13       514      3946
       786       254        13       515      3952
       787       254        13       515      3957
       788       254        13       516      3965
       789       255        13       517      3972
       790       255        13       518      3977
       791       255        13       519      3983
       792       255        13       520      3991
       793       255        13       521      3999
       794       255        13       522      4007
       795       255        13       523      4015
       796       255        13       523      4023
       797       255        13       524      4029
       798       256        13       525      4035
       799       256        13       525      4039
       800       256        13       526      4045
       801       257        13       526      4049
       802       257        13       527      4053
       803       258        13       527      4056
       804       258        13       528      4060
       805       259        13       528      4063
       806       259        13       529      4068
       807       260        13       529      4072
       808       260        13       530      4075
       809       261        13       531      4078
       810       261        13       531      4082
       811       261        13       532      4086
       812       262        13       533      4092
       813       262        13       534      4097
       814       262        13       535      4102
       815       262        13       536      4108
       816       262        13       537      4113
       817       262        13       538      4121
       818       262        13       539      4129
       819       262        13       540      4136
       820       262        13       541      4142
       821       262        13       541      4148
       822       262        13       542      4154
       823       263        13       543      4161
       824       263        13       544      4168
       825       263        13       544      4174
       826       263        13       545      4181
       827       264        13       546      4186
       828       264        13       547      4193
       829       264        13       547      4200
       830       264        13       548      4208
       831       265        13       549      4218
       832       265        13       550      4228
       833       265        13       551      4235
       834       265        13       551      4242
       835       265        13       552      4251
       836       266        13       552      4258
       837       266        13       553      4267
       838       267        13       554      4276
       839       267        13       555      4283
       840       267        13       555      4291
       841       267        13       556      4299
       842       268        13       557      4307
       843       268        13       558      4314
       844       268        13       559      4320
       845       268        13       560      4325
       846       268        13       561      4331
       847       268        13       561      4336
       848       268        13       562      4342
       849       269        13       562      4348
       850       269        13       563      4354
       851       270        13       564      4361
       852       270        13       565      4368
       853       270        13       565      4375
       854       270        13       566      4382
       855       271        13       567      4388
       856       271        13       567      4395
       857       271        13       568      4403
       858       272        13       569      4411
       859       272        13       570      4420
       860       272        13       571      4429
       861       272        13       572      4436
       862       272        13       573      4442
       863       272        13       573      4448
       864       272        13       574      4453
       865       273        13       575      4458
       866       273        13       576      4463
       867       273        13       577      4469
       868       273        13       578      4477
       869       273        13       579      4483
       870       273        13       580      4488
       871       273        13       581      4494
       872       273        13       582      4499
       873       273        13       583      4505
       874       273        13       584      4510
       875       273        13       585      4514
       876       273        13       586      4519
       877       273        13       587      4526
       878       273        13       588      4534
       879       273        13       589      4540
       880       273        13       589      4546
       881       273        13       590      4552
       882       274        13       590      4559
       883       274        13       591      4566
       884       275        13       592      4572
       885       275        13       593      4577
       886       275        13       594      4582
       887       275        13       595      4590
       888       275        13       596      4595
       889       275        13       597      4603
       890       275        13       598      4607
       891       275        13       599      4612
       892       275        13       600      4616
       893       275        13       600      4620
       894       275        13       601      4624
       895       276        13       602      4627
       896       276        13       603      4633
       897       276        13       604      4638
       898       276        13       605      4644
       899       276        13       606      4648
       900       276        13       607      4653
       901       276        13       608      4657
       902       276        13       608      4661
       903       276        13       609      4666
       904       277        13       609      4670
       905       277        13       610      4675
       906       278        13       611      4681
       907       278        13       612      4686
       908       278        13       612      4691
       909       278        13       613      4696
       910       279        13       614      4700
       911       279        13       614      4704
       912       279        13       615      4709
       913       280        13       616      4713
       914       280        13       617      4718
       915       280        13       618      4724
       916       280        13       619      4731
       917       280        13       620      4740
       918       280        13       620      4748
       919       280        13       621      4755
       920       281        13       621      4764
       921       281        13       622      4772
       922       282        13       623      4780
       923       282        13       623      4785
       924       282        13       624      4793
       925       283        13       624      4800
       926       283        13       625      4805
       927       284        13       626      4810
       928       284        13       626      4813
       929       284        13       626      4818
       930       285        13       627      4822
       931       286        13       628      4827
       932       286        13       629      4833
       933       286        13       630      4838
       934       286        13       631      4843
       935       286        13       632      4848
       936       286        13       633      4852
       937       286        13       634      4857
       938       286        13       635      4864
       939       286        13       636      4869
       940       286        13       637      4874
       941       286        13       638      4879
